Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,ROE,ROA,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Profit_Margin,Operating_Margin,Market_Cap,Beta,52Week_High,52Week_Low
2010-01-04,,,,,,,,,,,,,,,,,,,-1,0.0,0.0,0.0,,,,0.0517951889501599,,,,,-0.0367435737177676,,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-05,-0.036836232834096,,,,,,,,,,,,,,,,,,-1,-0.0224501617953309,-0.0044900323590661,-0.0179601294362647,,,,0.0541643160380201,,,,0.0016828482357742,-0.0384543682041801,0.0016828482357742,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-06,0.0351389012549343,,,,,,,,,,,,,,,,,,-1,-0.0191566432823115,-0.0074233545437152,-0.0117332887385963,,,,0.0624530378688728,-0.0,,,0.000388412628737,0.0347369963381352,0.000388412628737,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-07,-0.0172543948228864,,,,,,,,,,,,,,,,,,-1,-0.0268423222199301,-0.0113071480789582,-0.0155351741409718,,,,0.0393130505239931,-0.0,,,0.0150037807586895,-0.0317813353931193,0.0150037807586895,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-08,0.0171756478888671,,,,,,,,,,,,,,,,0.0094314998744873,,-1,-0.022301515321657,-0.013506021527498,-0.008795493794159,,,,0.0363977664518767,-0.0,,,0.001717532939075,0.0154316106501972,0.001717532939075,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-11,-0.0013132882210803,-0.004674564563097,,,,,,,,,,,-0.6065047912944617,,,,0.0090613232828345,,-1,-0.0192874557744762,-0.0146623083768936,-0.0046251473975825,,,,0.0231073588178696,-0.0,,,0.0060037017055336,-0.0072733230645266,0.0060037017055336,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-12,-0.0161562953680562,0.016695911014239,,,,,,,,,,,-0.7335042583915363,,,,-0.0104678024287592,,-1,-0.0265067789315596,-0.0170312024878268,-0.0094755764437327,,,,0.0175672642181549,-0.0,,,-0.0099568931353083,-0.0062617498064104,-0.0099568931353083,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-13,0.0303607578324982,0.0120028994059022,,,,,,,,,,,-0.380770617937004,,,,0.0171152090727783,,-1,-0.013741293895519,-0.0163732207693652,0.0026319268738462,,,,0.0253892649686426,-0.0,,,0.0175672004820488,0.0125726903779805,0.0175672004820488,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-14,-0.0550406732135163,-0.0269083133104184,,,,,,,,,,,0.776473069891717,,,,-0.0337312734636156,,-1,-0.0374293412443469,-0.0205844448643616,-0.0168448963799853,,,,0.0419689904364649,-0.0,,,-0.0246478962541549,-0.0311608257598848,-0.0246478962541549,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-15,-0.0007845509256031,-0.0440901247251197,,,,,,,,,,,0.5928809788654059,,,,-0.0258126738303908,,-1,-0.0560176964281069,-0.0276710951771106,-0.0283466012509962,,,,0.0239450691058268,-0.0,,,-0.0052952114245278,0.0045346725488115,-0.0052952114245278,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-19,0.0049068838536006,-0.0381363818326111,-0.0426326754166286,,,,,,,,,,-0.2183469198225157,,0.6497905826636052,,-0.0133733607250459,,-1,-0.0670937762048531,-0.0355556313826591,-0.0315381448221939,,,,0.0191406053912956,-0.0,,,-0.0039253760579445,0.0088670664820178,-0.0039253760579445,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-20,0.0007812026335192,-0.0215772850636857,-0.0052416264807988,,,,,,,,,,0.530023222381953,,0.5870137001923512,,-0.0082836400164021,,-1,-0.0745512021966394,-0.0433547455454552,-0.0311964566511842,,,,0.0370803417827963,-0.0,,,-0.0066407113292309,0.0074715302382502,-0.0066407113292309,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
2010-01-21,-0.0009758224675371,-0.0513342626474193,-0.0399475232321502,,,,,,,,,,-0.4026598068242488,,0.5901618780662388,,0.0014868542423768,,-1,-0.0801141421299487,-0.0507066248623539,-0.0294075172675947,,,,0.0328189438134272,-0.0,,,-0.0140515178241008,0.0132620472498794,-0.0140515178241008,46.503395,46.034058,17.872198,10.877761,0.42861,0.14739999,65.822,,0.087,0.172,0.24047,0.28219998,471864049664.0,1.593,1341.15,747.77
